problem,group,user,logs,units,annotation,unit branch,session branch,Parallel Coordinate Plot,Scatter Plot,Scatterplot Matrix,Accuracy,restore,time,ses_name,confidence
Problem 2,A,B24,81,4,1,0,0,2,1,1,0,0,0:03:18,,
Problem 3,A,B24,225,4,5,0,0,1,2,1,1,0,0:18:52,,
Problem 4,B,B24,109,12,4,8,0,10,1,1,1,0,0:08:43,,
Problem 5,A,B24,16,1,1,0,0,1,0,0,1,0,0:03:25,,
Problem 1,A,B26,41,3,1,0,0,2,0,2,1,0,0:02:21,,
Problem 2,A,B26,76,2,1,0,0,0,1,1,0,0,0:06:23,,
Problem 3,A,B26,14,1,1,0,0,1,0,0,0,0,0:01:02,,
Problem 4,A,B26,152,3,2,0,0,1,3,1,0,0,0:04:58,,
Problem 5,A,B26,37,1,1,0,0,1,0,0,0,0,0:06:55,,
Problem 1,A,B27,15,1,1,0,0,0,1,0,1,0,0:01:39,,
Problem 2,B,B27,221,6,1,1,0,3,3,0,1,0,0:07:30,,
Problem 3,A,B27,134,3,1,0,0,1,2,0,0,0,0:04:50,,
Problem 4,C,B27,261,10,11,2,1,5,3,2,1,0,0:08:52,,
Problem 5,C,B27,45,10,1,2,1,5,3,2,1,0,0:03:28,,
Problem 1,A,B28,157,2,1,0,0,1,1,0,1,0,0:03:51,,
Problem 2,A,B28,102,4,1,0,0,1,2,1,1,0,0:03:44,,
Problem 3,A,B28,64,1,1,0,0,1,0,0,0,0,0:02:11,,
Problem 4,A,B28,91,7,1,0,0,3,2,2,0,0,0:06:49,,
Problem 5,A,B28,9,1,1,0,0,1,0,0,0,0,0:00:58,,
Problem 1,A,B29,42,3,1,0,0,1,1,1,1,0,0:02:42,,
Problem 2,A,B29,124,5,2,0,0,2,3,0,0,0,0:05:57,,
Problem 3,A,B29,109,2,1,0,0,4,0,0,0,0,0:05:57,,
Problem 4,A,B29,193,6,1,0,0,6,0,0,1,0,0:11:15,,
Problem 5,A,B29,50,1,1,0,0,1,0,0,1,0,0:01:05,,
Problem 1,A,B31,24,2,1,0,0,1,1,0,1,0,0:01:51,,
Problem 2,A,B31,25,2,1,0,0,1,1,0,1,0,0:02:15,,
Problem 3,C,B31,39,4,1,3,1,4,0,0,1,0,0:06:48,,
Problem 4,B,B31,73,7,1,5,0,6,1,0,1,0,0:06:36,,
Problem 5,B,B31,54,6,1,4,0,5,1,0,0,0,0:03:43,,
Problem 1,A,B32,33,2,1,0,0,0,2,0,1,0,0:04:00,,
Problem 2,A,B32,166,4,1,0,0,1,7,1,0,0,0:07:28,,
Problem 3,B,B32,98,4,3,3,0,4,0,0,1,0,0:01:50,,
Problem 4,B,B32,168,7,1,5,0,7,1,0,1,0,0:16:59,,
Problem 5,A,B32,95,1,1,0,0,1,0,0,1,0,0:01:43,,
Problem 1,A,B33,39,1,1,0,0,0,1,0,1,0,0:03:03,,
Problem 2,A,B33,51,3,1,0,0,1,1,2,0,0,0:04:10,,
Problem 3,B,B33,54,4,1,2,0,4,0,1,0,0,0:05:14,,
Problem 4,B,B33,152,7,10,5,0,6,0,1,1,0,0:17:48,,
Problem 5,A,B33,17,1,1,0,0,1,0,0,1,0,0:02:10,,
Problem 1,A,B34,56,3,1,0,0,2,2,0,1,0,0:04:02,,
Problem 2,A,B34,41,4,1,0,0,1,2,1,0,0,0:05:18,,
Problem 3,B,B34,61,4,1,3,0,4,0,0,1,0,0:05:10,,
Problem 4,B,B34,97,6,7,5,0,6,0,0,1,0,0:08:21,,
Problem 5,A,B34,13,1,1,0,0,1,0,0,1,0,0:01:54,,
Problem 1,B,B35,179,3,1,1,0,2,1,0,1,0,0:08:04,,
Problem 2,A,B35,57,2,1,0,0,1,0,1,0,0,0:04:07,,
Problem 3,B,B35,322,7,1,2,0,2,3,2,1,0,0:10:48,,
Problem 4,C,B35,159,15,1,7,1,9,3,3,1,0,0:11:12,,
Problem 5,B,B35,87,6,1,5,0,6,0,0,1,0,0:03:55,,
Problem 1,A,B36,16,1,1,0,0,0,1,0,1,0,0:01:25,,
Problem 2,A,B36,21,1,1,0,0,0,1,0,0,0,0:01:34,,
Problem 3,B,B36,136,7,1,3,0,7,0,0,0,0,0:06:54,,
Problem 4,B,B36,59,4,1,3,0,4,0,0,0,0,0:02:41,,
Problem 5,C,B36,48,7,1,3,1,7,0,0,0,0,0:02:42,,
Problem 1,A,B37,68,6,1,0,0,2,7,2,1,0,0:07:54,,
Problem 2,A,B37,84,2,1,0,0,1,0,1,0,0,0:05:56,,
Problem 3,A,B37,28,1,1,0,0,1,0,0,0,0,0:00:50,,
Problem 4,A,B37,51,1,1,0,0,1,0,0,0,0,0:02:03,,
Problem 5,A,B37,48,1,1,0,0,1,0,0,0,0,0:02:13,,
Problem 1,A,B39,162,3,1,0,0,1,2,0,1,0,0:07:39,,
Problem 2,A,B39,75,5,1,0,0,0,4,1,0,0,0:04:23,,
Problem 3,A,B39,13,1,1,0,0,0,1,0,0,0,0:02:07,,
Problem 4,A,B39,284,6,1,0,0,4,1,1,0,0,0:12:34,,
Problem 5,A,B39,37,1,1,0,0,1,0,0,1,0,0:02:56,,
Problem 1,A,B40,38,2,1,0,0,1,0,1,1,0,0:02:43,,
Problem 2,A,B40,58,3,1,0,0,1,2,0,1,0,0:03:08,,
Problem 3,A,B40,13,2,1,0,1,1,0,1,1,0,0:05:47,,
Problem 4,B,B40,203,12,1,8,0,12,1,1,1,0,0:18:38,,
Problem 5,A,B40,22,1,2,0,0,1,0,0,1,0,0:00:34,,
Problem 1,A,B41,21,2,1,0,0,3,0,1,1,0,0:01:29,,
Problem 2,A,B41,53,2,1,0,0,1,0,1,1,0,0:02:08,,
Problem 3,B,B41,93,5,2,3,0,4,0,1,0,0,0:01:12,,
Problem 4,A,B41,150,12,2,0,0,9,11,2,1,0,0:30:29,,
Problem 5,D,B41,62,6,4,3,1,5,1,1,1,6,0:01:08,,
Problem 1,A,B42,49,3,1,0,0,0,2,1,1,0,0:01:40,,
Problem 2,A,B42,40,2,1,0,0,1,2,0,1,0,0:01:38,,
Problem 3,A,B42,48,1,1,0,0,1,0,0,1,0,0:02:06,,
Problem 4,C,B42,159,3,2,0,1,2,0,3,1,0,0:07:21,,
Problem 5,C,B42,30,2,1,0,1,1,1,0,1,0,0:02:00,,
Problem 1,A,B43,27,3,1,0,0,1,1,1,1,0,0:01:17,,
Problem 2,A,B43,49,4,1,0,0,1,3,0,1,0,0:07:07,,
Problem 3,A,B43,33,1,1,0,0,1,0,0,1,0,0:02:27,,
Problem 4,A,B43,153,5,4,0,0,4,1,0,1,0,0:08:15,,
Problem 5,A,B43,44,4,1,0,0,4,0,0,0,0,0:01:57,,
Problem 1,A,B44,37,3,1,0,0,1,2,1,1,0,0:05:49,,
Problem 2,A,B44,25,2,1,0,0,1,0,1,1,0,0:02:52,,
Problem 3,A,B44,36,6,1,0,0,5,0,1,0,0,0:02:33,,
Problem 4,A,B44,96,8,1,0,0,6,1,1,0,0,0:05:48,,
Problem 5,A,B44,67,7,1,0,0,5,0,2,0,0,0:02:46,,
Problem 1,B,B45,294,9,1,2,0,3,4,2,1,0,0:10:39,,
Problem 2,A,B45,149,5,1,0,0,2,1,2,0,0,0:07:07,,
Problem 3,A,B45,623,4,1,0,0,1,2,1,1,0,0:13:44,,
Problem 4,A,B45,28,4,1,0,0,3,1,0,0,0,0:02:24,,
Problem 5,A,B45,17,1,1,0,0,1,0,0,1,0,0:01:00,,
Problem 1,A,B46,66,2,1,0,0,0,2,0,1,0,0:01:49,,
Problem 2,A,B46,61,4,1,0,0,1,2,2,1,0,0:02:57,,
Problem 3,A,B46,51,5,1,0,0,4,1,0,1,0,0:03:23,,
Problem 4,A,B46,159,2,1,0,0,1,0,1,1,0,0:05:42,,
Problem 5,A,B46,82,6,1,0,0,4,0,3,1,0,0:06:25,,
Problem 1,A,B48,155,3,1,0,0,3,3,1,1,0,0:05:40,,
Problem 2,A,B48,351,4,1,0,0,2,4,1,1,0,0:09:23,,
Problem 3,C,B48,159,5,2,0,1,8,4,1,1,0,0:01:39,,
Problem 4,A,B48,83,1,1,0,0,5,0,0,0,0,0:11:32,,
Problem 5,A,B48,90,1,3,0,0,5,0,0,0,0,0:02:12,,
Problem 1,A,B49,43,4,1,0,0,1,2,1,1,0,0:03:19,,
Problem 2,A,B49,40,2,1,0,0,1,1,0,0,0,0:02:44,,
Problem 3,B,B49,25,2,1,1,0,2,0,0,1,0,0:03:58,,
Problem 4,C,B49,47,7,1,6,1,7,0,0,0,0,0:05:42,,
Problem 5,B,B49,40,6,1,5,0,6,0,0,0,0,0:02:36,,
Problem 1,A,S38,239,2,1,0,0,1,1,0,1,0,0:06:00,Problem1,2
Problem 2,A,S38,122,3,1,0,0,1,2,0,1,0,0:06:11,Problem2,2
Problem 3,A,S38,33,1,3,0,0,1,0,0,1,0,0:04:11,Problem3,7
Problem 4,A,S38,107,3,7,0,0,1,1,1,0,0,0:11:24,Problem4,5
Problem 5,A,S38,15,1,1,0,0,1,0,0,0,0,0:01:21,Problem5,5
Problem 1,A,S39,75,2,1,0,0,1,0,1,0,0,0:08:35,Problem1,5
Problem 2,A,S39,93,3,1,0,0,1,1,1,0,0,0:04:33,Problem2,5
Problem 3,A,S39,72,1,1,0,0,1,0,0,1,0,0:04:04,Problem3,7
Problem 4,A,S39,79,3,1,0,0,1,2,0,1,0,0:05:17,Problem4,6
Problem 5,A,S39,18,1,1,0,0,1,0,0,0,0,0:01:31,Problem5,6
Problem 1,A,S40,121,3,1,0,0,1,1,1,0,0,0:05:53,problem1,4
Problem 2,A,S40,33,2,1,0,0,1,1,0,0,0,0:02:41,problem2,6
Problem 3,A,S40,161,1,2,0,0,1,0,0,1,0,0:05:35,problem3,7
Problem 4,A,S40,181,2,1,0,0,1,1,0,1,0,0:07:13,problem4,7
Problem 5,A,S40,81,1,1,0,0,1,0,0,0,0,0:02:12,problem5,7
Problem 1,A,S41,129,2,1,0,0,1,0,1,1,0,0:05:59,Problem1,7
Problem 2,A,S41,94,2,1,0,0,1,0,1,1,0,0:04:38,Problem2,5
Problem 3,A,S41,45,2,1,0,0,1,0,1,1,0,0:02:51,Problem3,7
Problem 4,A,S41,96,1,1,0,0,1,0,0,0,0,0:01:45,Problem4,7
Problem 5,A,S41,42,1,1,0,0,1,0,0,0,0,0:02:21,Problem5,7
Problem 1,A,S42,38,3,1,0,0,1,1,1,0,0,0:02:32,Problem1,7
Problem 2,A,S42,33,3,1,0,0,1,1,1,0,0,0:01:36,Problem2,7
Problem 3,A,S42,56,2,1,0,0,1,1,0,1,0,0:04:40,Problem3,7
Problem 4,A,S42,487,6,1,0,0,1,4,1,1,0,0:09:47,Problem4,4
Problem 5,A,S42,127,6,1,0,0,1,4,1,0,0,0:11:19,Problem5,4
Problem 1,A,S43,124,4,1,0,0,1,2,1,1,0,0:06:55,problem1,7
Problem 2,A,S43,22,1,1,0,0,1,0,0,1,0,0:01:43,problem2,4
Problem 3,A,S43,26,1,1,0,0,1,0,0,1,0,0:02:22,problem3,7
Problem 4,A,S43,17,1,2,0,0,1,0,0,1,0,0:02:11,Problem4,7
Problem 5,A,S43,60,1,7,0,0,1,0,0,1,0,0:09:39,problem5,7
Problem 1,A,S44,74,3,1,0,0,1,0,2,1,0,0:06:11,PROBLEM1,2
Problem 2,A,S44,42,2,1,0,0,1,0,1,0,0,0:03:27,PROBLEM2,6
Problem 3,A,S44,78,2,5,0,0,1,0,1,1,0,0:05:07,PROBLEM3,7
Problem 4,A,S44,105,2,10,0,0,1,0,1,0,0,0:09:57,PROBLEM4,7
Problem 5,A,S44,112,1,1,0,0,1,0,0,0,0,0:02:49,PROBLEM5,5
Problem 1,A,S45,16,1,1,0,0,0,1,0,1,0,0:01:24,problem1,7
Problem 2,A,S45,42,2,1,0,0,1,1,0,0,0,0:02:54,problem2,3
Problem 3,A,S45,105,1,1,0,0,1,0,0,1,0,0:03:37,problem3,3
Problem 4,A,S45,219,2,1,0,0,1,0,1,0,0,0:07:36,problem4,7
Problem 5,A,S45,75,2,1,0,0,1,0,1,0,0,0:01:23,problem5,7
Problem 1,A,S46,270,5,1,0,0,2,2,1,0,0,0:11:03,Problem1,4
Problem 2,A,S46,90,1,1,0,0,1,0,0,1,0,0:01:19,Problem2,5
Problem 3,A,S46,41,1,1,0,0,1,0,0,1,0,0:01:57,Problem3,7
Problem 4,A,S46,64,1,1,0,0,1,0,0,1,0,0:04:43,Problem4,7
Problem 5,A,S46,88,2,1,0,0,1,0,1,1,0,0:05:59,Problem5,5
Problem 1,A,S47,48,2,1,0,0,1,1,0,1,0,0:03:04,problem1,6
Problem 2,A,S47,86,2,1,0,0,1,1,0,1,0,0:03:18,problem2,7
Problem 3,A,S47,37,1,1,0,0,0,1,0,0,0,0:02:07,problem3,7
Problem 4,A,S47,48,2,5,0,0,1,0,1,1,0,0:05:18,problem4,7
Problem 5,A,S47,692,1,5,0,0,1,0,0,1,0,0:13:20,problem5,7
Problem 1,A,S48,111,4,1,0,0,1,2,1,1,0,0:04:05,problem1,7
Problem 2,A,S48,59,2,1,0,0,1,1,0,1,0,0:01:37,Problem2,7
Problem 3,A,S48,70,3,1,0,0,2,0,1,1,0,0:04:19,Problem3,7
Problem 4,A,S48,120,3,4,0,0,3,0,0,1,0,0:07:56,Problem4,7
Problem 5,A,S48,15,1,1,0,0,1,0,0,1,0,0:01:05,Problem5,7
Problem 1,A,S49,234,4,2,0,0,1,2,1,0,0,0:06:16,problem1,4
Problem 2,A,S49,134,2,1,0,0,1,0,1,0,0,0:04:17,problem2,4
Problem 3,A,S49,143,2,1,0,0,1,1,0,0,0,0:04:43,problem3,6
Problem 4,A,S49,110,3,1,0,0,1,0,2,0,0,0:05:29,Problem4,5
Problem 5,A,S49,196,2,2,0,0,1,0,1,0,0,0:10:34,problem5,2
Problem 1,A,S50,125,3,1,0,0,1,2,0,1,0,0:07:43,Problem1,7
Problem 2,A,S50,128,2,1,0,0,1,1,0,1,0,0:05:18,Problem2,7
Problem 3,A,S50,51,2,1,0,0,1,1,0,1,0,0:04:02,Problem2,7
Problem 4,A,S50,223,3,5,0,0,1,2,0,0,0,0:19:17,Problem4,7
Problem 5,A,S50,50,1,1,0,0,1,0,0,0,0,0:02:07,Problem5,7
Problem 1,A,S51,45,2,1,0,0,1,1,0,0,0,0:04:17,Problem1,5
Problem 2,A,S51,161,3,1,0,0,1,2,0,1,0,0:05:33,Problem2,6
Problem 3,A,S51,97,3,1,0,0,1,1,1,1,0,0:05:11,Problem3,7
Problem 4,A,S51,109,1,23,0,0,1,0,0,1,0,0:11:33,Problem4,7
Problem 5,A,S51,126,2,18,0,0,1,0,1,1,0,0:16:45,Problem5,7
Problem 1,A,S52,51,2,1,0,0,1,0,1,1,0,0:03:47,problem1,6
Problem 2,A,S52,16,1,1,0,0,1,0,0,1,0,0:01:05,problem2,7
Problem 3,A,S52,95,2,1,0,0,1,1,0,1,0,0:03:02,Problem3,6
Problem 4,A,S52,175,2,7,0,0,1,0,1,1,0,0:08:36,Problem4,4
Problem 5,A,S52,57,1,4,0,0,1,0,0,1,0,0:02:36,Problem5,5
